scene_number,script_segment,asset_type,prompt
1,"Four billion miles away, there's a tiny frozen ball of rock and ice that should be completely dead — no weather, no wind, no surprises, just a lump of ice sitting quietly in the dark forever.",video,"Cinematic 3D render of Pluto as a dark, dimly illuminated ice sphere floating alone in pitch black space four billion miles from Earth."
2,"But scientists just found out this little world is doing something that sounds made up: it's cooling itself down on purpose, using nothing but its own sky.",image,Conceptual scientific illustration showing Pluto surrounded by glowing atmospheric haze emitting infrared heat waves into the void.
3,"Out past every planet you've ever heard of, there's a place that is somehow colder than the math says it should be. For years, the idea of how that could happen made real scientists laugh. Then a giant telescope pointed straight at it and proved the joke was true all along.",stock_video,observatory telescope dome night sky starry dark night observatory
4,"This is the story of Pluto — the little world that got voted out of the Planet Club and then turned around and shocked everyone still watching it. Stick with me, because by the end of this you'll know exactly how a ball of ice smaller than our Moon can run its own private refrigerator, and why that one strange fact might be a clue about life itself. Let's start from the beginning.",video,Photorealistic visual of Pluto and its large moon Charon performing their gravitational binary orbital rotation against a starfield.
5,"Section One: A World That Got Colder Than It Should. Back in 1930, a young man named Clyde Tombaugh sat in a small observatory in Arizona, staring at photo after photo of the night sky. His job was boring on purpose — he had to compare pictures taken on different nights and look for one tiny dot that had moved.",stock_video,vintage astronomy laboratory 1930s observatory glass plates research
6,"Almost every night, nothing happened. Then one day, it did. A tiny speck of light had shifted just a little compared to the stars around it. That speck was Pluto.",youtube_video,Clyde Tombaugh discovery of Pluto blink comparator || Pluto discovery photo plates 1930 || Pluto discovery astronomical plates
7,"For the next 76 years, kids everywhere grew up learning Pluto was the ninth planet in our solar system. Then in 2006, a group of scientists got together and voted on new rules for what counts as a planet. Pluto didn't make the cut. It got a new label instead — dwarf planet — and people all over the world were upset about it. It felt like Pluto had been kicked out of a club it belonged to its whole life.",youtube_video,2006 IAU vote Pluto planet demotion || IAU assembly vote dwarf planet Pluto || Pluto demotion news report 2006
8,"Here's the wild part, though: that demotion didn't make Pluto boring. It actually set the stage for one of the strangest discoveries anyone has ever made about a world in our solar system.",video,"Dramatic render of Pluto bathed in ethereal blue atmospheric sunlight, revealing complex terrain."
9,"To understand why, picture just how little we knew about Pluto for most of the last century. Even with our best telescopes on Earth, Pluto looked like nothing more than a fuzzy little smudge of light. We couldn't tell how big it really was. We couldn't see its surface. We had no idea if it even had any kind of sky wrapped around it. Everything people thought they knew about Pluto was really just a guess built on top of another guess.",stock_video,astronomy computer monitor blurred pixelated telescope planetary imagery
10,"Let's put its size into perspective. If Earth were the size of a basketball, Pluto would be smaller than a golf ball, floating about 40 times farther from the Sun than we are. Out there, sunlight is so weak that even standing at high noon on Pluto would feel like a deep, heavy twilight here on Earth.",image,"Conceptual visualization comparing a basketball side-by-side with a golf ball, fading into a landscape lit only by faint twilight sunlight."
